,adult,budget,id,imdb_id,original_language,overview,popularity,release_date,revenue,runtime,title,tmdb_id,vote_average,vote_count,belongs_to_collection,genres,production_companies,production_countries,spoken_languages
2287,False,0,how+to+make+money+selling+drugs+2012,tt1276962,en,"Ten easy steps show you how to make money from drugs, featuring a series of interviews with drug dealers, prison employees, and lobbyists arguing for tougher drug laws.",2.977883,2012-09-07,0,96,How to Make Money Selling Drugs,124071,6.8,46,,Documentary,Bert Marcus Productions,United States of America,English
2288,False,0,echoes+of+the+rainbow+2010,tt1602572,zh,"Told through the eyes of sticky-fingered eight-year-old boy Big Ears, Echoes of the Rainbow takes place in a close-knit grassroots community in 1960s Hong Kong. Big Ears' mother and father run the neighborhood shoe store, and his older brother Desmond is every family's dream son - an outstanding athlete with grades worthy of Hong Kong's best school.",1.867779,2010-04-11,0,117,Echoes of the Rainbow,39693,7.2,20,,Comedy,BIG Pictures,Hong Kong,广州话 / 廣州話
2289,False,0,asterix+in+britain+1986,tt0090667,fr,"One little ancient British village still holds out against the Roman invaders. Asterix and Obelix are invited to help. They must face fog, rain, warm beer and boiled boar with mint sauce, but they soon have Governor Encyclopaedius Britannicus's Romans declining and falling. Until a wild race for a barrel of magic potion lands them in the drink.",5.711211,1986-12-03,0,79,Asterix in Britain,9318,6.8,142,Asterix and Obelix (Animation) Collection,Family,Gaumont International,France,Français
2290,False,0,a+lawless+street+1955,tt0048289,en,A Marshal must face unpleasant facts about his past when he attempts to run a criminal gang out of town.,0.910456,1955-11-15,0,78,A Lawless Street,43314,4.6,10,,Action,Columbia Pictures Corporation,United States of America,English
2291,False,0,fightville+2011,tt1703232,en,"FIGHTVILLE is about the art and sport of fighting: a microcosm of life, a physical manifestation of that other brutal contest called the American Dream...",0.439409,2011-03-12,0,85,Fightville,94331,5.8,4,,Documentary,,United States of America,English
2292,False,0,my+foolish+heart+1950,tt0041672,en,"After a long absence, Mary Jane visits her schoolfriend Eloise, and Eloise's daughter Ramona. Eloise drinks too much and is unhappily married to Lew Wengler. Eloise falls asleep and remembers her time with her true love, Walt Dreiser, at the beginning of the Second World War. She recalls the events that lead up to her split with Mary Jane, and how Lew married Eloise rather than Mary Jane.",0.065284,1950-01-21,0,98,My Foolish Heart,109887,10.0,1,,,"Samuel Goldwyn Company, The",United States of America,
2293,False,0,it+happened+here+1966,tt0055024,en,"It is the Second World War. The Nazis have invaded Britain. There is a split between the resistance and those who prefer to collaborate with the invaders for a quiet life. The protagonist, a nurse, is caught in the middle.",0.352743,1966-05-01,0,93,It Happened Here,54195,5.3,7,,War,,United Kingdom,English
2294,False,0,102+minutes+that+changed+america+2008,tt1312203,en,"The morning of September 11, 2001 is shown through multiple video cameras in and around New York City, from the moment the first WTC tower is hit until after both towers collapse.",1.302925,2008-01-01,0,102,102 Minutes That Changed America,36130,7.0,12,,Documentary,,United States of America,English
2295,False,0,titanic+town+1998,tt0127319,en,"Belfast 1972: The politically naive Bernie is trying to bring up a normal family in less than normal surroundings. Her best friend is accidentally shot dead by the IRA, and her neighbours are constantly raided by the army. In this climate of fear she stands up and condemns the murders. Criticising both factions, her call for a ceasefire is interpreted as an attack against the IRA, and as her peace movement takes momentum, she and her family are placed in the frontline.",0.002534,1998-08-08,0,100,Titanic Town,83036,0.0,0,,Drama,,United Kingdom,English
2296,False,0,x+2010,tt1661099,en,"Holly Rowe's retiring, kissing her callgirl life goodbye. She just has to get through her last night on the job. Shay Ryan's a teenage runaway, broke and alone. She just has to get through her first night as a hooker. Then fate throws them together on a job that goes horribly wrong and they're trapped on an out-of-control roller coaster ride, through the twilight zone of sex-for-sale. X is a sizzling adults-only thriller about love, chance, escape and the oldest profession experienced by two women, on a night that will change their lives forever.",5.257968,2010-12-31,0,90,X,73454,5.5,39,,Action,,Australia,English
2297,False,0,safe+1995,tt0114323,en,"Carol, a typical upper middle-class housewife, begins to complain of vague symptoms of illness. She ""doesn't feel right,"" has unexplained headaches, congestion, a dry cough, nosebleeds, vomiting, and trouble breathing. Her family doctor treats her concerns dismissively and suggests a psychiatrist. Eventually, an allergist tells her that she has Environmental Illness.",8.180047,1995-06-23,0,119,Safe,32646,7.2,62,,Drama,Killer Films,United Kingdom,English
